Batch No:0
Requestid				T									D
[1]				5.0									0
[2]				5.0									0
[3]				5.0									0
[4]				5.0									0
[5]				5.0									0
[6]				5.0									0
[7]				5.0									0
[8]				9.82339482918									0
[9]				11.0634765302									0
[10]				5.0									0
[11]				5.0									0
[12]				5.0									0
[13]				9.27914483618									0
[14]				10.4804050381									0
[15]				13.78166749									0
[16]				14.0732384374									0
[17]				13.954171123									0
[18]				18.874965484									0
[19]				22.4093001234									0
[20]				25.4425877882									7.25630783874
[21]				15.5562366381									0
[22]				19.512942704									0
[23]				14.9413007563									0
[24]				19.0449566678									0
[25]				18.2795416443									0
[26]				22.4666900797									0
[28]				15.1495192664									0
[27]				32.4560314449									22.5938780608
[29]				12.796024661									0
[30]				15.7469517578									0
[31]				5.0									0
[32]				5.35094739036									0
[33]				5.0									0
[34]				8.62518482458									0
[35]				5.0									0
[36]				5.0									0
[37]				5.0									0
[38]				5.0									0
[39]				7.87032224204									0
[40]				10.1814336047									0
[41]				14.0926184724									0
[42]				18.1477679081									0
[43]				22.7436187866									0
[45]				20.0473317145									0
[44]				30.591908364									5.68194207697
[47]				25.347311805									1.89747465132
[46]				32.5733280923									8.53299607534
[48]				31.4151485265									8.37828155102
[51]				31.9865888225									7.84084048339
[53]				24.6077794449									0
[49]				42.4775149239									18.4643496563
[54]				26.1507352854									2.11088345789
[50]				52.1253750314									28.0888323195
[52]				45.8052168128									26.7162501812
[55]				24.062325882									0
[56]				28.3762353715									7.97833281113
[57]				25.0967931942									0.186596825012
[58]				18.3132023808									0
[59]				5.82273567317									0
[60]				10.2490872246									0
[61]				12.7492586403									0
[62]				12.0868625194									0
[63]				5.0									0
[64]				7.50727526471									0
[65]				5.0									0
[66]				5.2733531488									0
[67]				8.0256255768									0
[68]				10.7398198837									0
[69]				14.5675412274									0
[70]				19.0790037597									0
[71]				23.1118751403									0
[72]				21.100731749									0
[73]				5.0									0
[74]				8.94294497331									0
[75]				13.6443224762									0
[76]				5.0									0
[77]				5.42462104753									0
[78]				7.3004962819									0
[79]				10.6748652613									0
[80]				10.2670403878									0
[81]				5.0									0
[82]				6.3508564043									0
